date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:00:11	9684/9684	U-----	200	untouched ('')	application/octet-stream	date:Thu,%2023%20Feb%202023%2002:05:15%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-regular-cyrillic.woff2	C:/My%20Web%20Sites/classcentral/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-regular-cyrillic.woff2	(from https://www.classcentral.com/)
23:00:11	805541/805541	---MCZ	200	added ('OK')	text/html	date:Sat,%2025%20Feb%202023%2004:00:11%20GMT	https://www.classcentral.com/subject/engineering	C:/My%20Web%20Sites/classcentral/www.classcentral.com/subject/engineering.html	(from https://www.classcentral.com/)
23:00:12	8444/8444	U-----	200	untouched ('')	application/octet-stream	date:Thu,%2023%20Feb%202023%2002:05:15%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-regular-greek.woff2	C:/My%20Web%20Sites/classcentral/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-regular-greek.woff2	(from https://www.classcentral.com/)
23:00:12	7376/7376	U-----	200	untouched ('')	application/octet-stream	date:Thu,%2023%20Feb%202023%2002:06:36%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-regular-greek-ext.woff2	C:/My%20Web%20Sites/classcentral/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-regular-greek-ext.woff2	(from https://www.classcentral.com/)
23:00:12	5804/5804	U-----	200	untouched ('')	application/octet-stream	date:Thu,%2023%20Feb%202023%2002:05:15%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-regular-vietnamese.woff2	C:/My%20Web%20Sites/classcentral/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-regular-vietnamese.woff2	(from https://www.classcentral.com/)
23:00:12	7943/7943	---MC-	429	error ('Too%20Many%20Requests')	text/html	date:Sat,%2025%20Feb%202023%2004:00:12%20GMT	https://www.classcentral.com/subject/science	C:/My%20Web%20Sites/classcentral/www.classcentral.com/subject/science.2c.delayed	(from https://www.classcentral.com/)
23:00:12	14960/14960	U-----	200	untouched ('')	application/octet-stream	date:Thu,%2023%20Feb%202023%2002:05:15%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-regular-latin-ext.woff2	C:/My%20Web%20Sites/classcentral/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-regular-latin-ext.woff2	(from https://www.classcentral.com/)
23:00:12	16112/16112	U-----	200	untouched ('')	application/octet-stream	date:Thu,%2023%20Feb%202023%2002:06:36%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-regular-latin.woff2	C:/My%20Web%20Sites/classcentral/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-regular-latin.woff2	(from https://www.classcentral.com/)
23:00:12	7974/7974	---MC-	429	error ('Too%20Many%20Requests')	text/html	date:Sat,%2025%20Feb%202023%2004:00:12%20GMT	https://www.classcentral.com/subject/education	C:/My%20Web%20Sites/classcentral/www.classcentral.com/subject/education.2d.delayed	(from https://www.classcentral.com/)
23:00:12	7808/7808	---MC-	429	error ('Too%20Many%20Requests')	text/html	date:Sat,%2025%20Feb%202023%2004:00:12%20GMT	https://www.classcentral.com/subject/social-sciences	C:/My%20Web%20Sites/classcentral/www.classcentral.com/subject/social-sciences	(from https://www.classcentral.com/)
23:00:13	7993/7993	---MC-	429	error ('Too%20Many%20Requests')	text/html	date:Sat,%2025%20Feb%202023%2004:00:13%20GMT	https://www.classcentral.com/subject/art-and-design	C:/My%20Web%20Sites/classcentral/www.classcentral.com/subject/art-and-design.2f.delayed	(from https://www.classcentral.com/)
23:00:13	6816/6816	U-----	200	untouched ('')	application/octet-stream	date:Thu,%2023%20Feb%202023%2002:06:36%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-600-semibold-cyrillic-ext.woff2	C:/My%20Web%20Sites/classcentral/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-600-semibold-cyrillic-ext.woff2	(from https://www.classcentral.com/)
23:00:13	9696/9696	U-----	200	untouched ('')	application/octet-stream	date:Thu,%2023%20Feb%202023%2002:06:36%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-600-semibold-cyrillic.woff2	C:/My%20Web%20Sites/classcentral/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-600-semibold-cyrillic.woff2	(from https://www.classcentral.com/)
23:00:13	7244/7244	U-----	200	untouched ('')	application/octet-stream	date:Thu,%2023%20Feb%202023%2002:05:15%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-600-semibold-greek-ext.woff2	C:/My%20Web%20Sites/classcentral/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-600-semibold-greek-ext.woff2	(from https://www.classcentral.com/)
23:00:14	8248/8248	U-----	200	untouched ('')	application/octet-stream	date:Thu,%2023%20Feb%202023%2002:05:15%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-600-semibold-greek.woff2	C:/My%20Web%20Sites/classcentral/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-600-semibold-greek.woff2	(from https://www.classcentral.com/)
23:00:14	5784/5784	U-----	200	untouched ('')	application/octet-stream	date:Thu,%2023%20Feb%202023%2002:05:15%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-600-semibold-vietnamese.woff2	C:/My%20Web%20Sites/classcentral/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-600-semibold-vietnamese.woff2	(from https://www.classcentral.com/)
23:00:14	15016/15016	U-----	200	untouched ('')	application/octet-stream	date:Thu,%2023%20Feb%202023%2002:05:15%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-600-semibold-latin-ext.woff2	C:/My%20Web%20Sites/classcentral/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-600-semibold-latin-ext.woff2	(from https://www.classcentral.com/)
23:00:14	843622/843622	---MCZ	200	added ('OK')	text/html	date:Sat,%2025%20Feb%202023%2004:00:14%20GMT	https://www.classcentral.com/subject/data-science	C:/My%20Web%20Sites/classcentral/www.classcentral.com/subject/data-science.html	(from https://www.classcentral.com/)
23:00:14	15948/15948	U-----	200	untouched ('')	application/octet-stream	date:Thu,%2023%20Feb%202023%2002:06:36%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-600-semibold-latin.woff2	C:/My%20Web%20Sites/classcentral/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-600-semibold-latin.woff2	(from https://www.classcentral.com/)
23:00:14	6696/6696	U-----	200	untouched ('')	application/octet-stream	date:Thu,%2023%20Feb%202023%2002:06:36%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-700-bold-cyrillic-ext.woff2	C:/My%20Web%20Sites/classcentral/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-700-bold-cyrillic-ext.woff2	(from https://www.classcentral.com/)
23:00:15	8133/8133	---MC-	429	error ('Too%20Many%20Requests')	text/html	date:Sat,%2025%20Feb%202023%2004:00:14%20GMT	https://www.classcentral.com/subject/programming-and-software-development	C:/My%20Web%20Sites/classcentral/www.classcentral.com/subject/programming-and-software-development.31.delayed	(from https://www.classcentral.com/)
23:00:15	9540/9540	U-----	200	untouched ('')	application/octet-stream	date:Thu,%2023%20Feb%202023%2002:05:15%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-700-bold-cyrillic.woff2	C:/My%20Web%20Sites/classcentral/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-700-bold-cyrillic.woff2	(from https://www.classcentral.com/)
