date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:47:10	9540/9540	---M--	200	added ('OK')	application/octet-stream	date:Thu,%2023%20Feb%202023%2002:05:15%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-700-bold-cyrillic.woff2	C:/My%20Web%20Sites/classcentral/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-700-bold-cyrillic.woff2	(from https://www.classcentral.com/)
22:47:10	7360/7360	---M--	200	added ('OK')	application/octet-stream	date:Thu,%2023%20Feb%202023%2002:05:15%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-700-bold-greek-ext.woff2	C:/My%20Web%20Sites/classcentral/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-700-bold-greek-ext.woff2	(from https://www.classcentral.com/)
22:47:10	8280/8280	---M--	200	added ('OK')	application/octet-stream	date:Thu,%2023%20Feb%202023%2002:06:36%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-700-bold-greek.woff2	C:/My%20Web%20Sites/classcentral/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-700-bold-greek.woff2	(from https://www.classcentral.com/)
22:47:11	5676/5676	---M--	200	added ('OK')	application/octet-stream	date:Thu,%2023%20Feb%202023%2002:05:15%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-700-bold-vietnamese.woff2	C:/My%20Web%20Sites/classcentral/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-700-bold-vietnamese.woff2	(from https://www.classcentral.com/)
22:47:11	14808/14808	---M--	200	added ('OK')	application/octet-stream	date:Thu,%2023%20Feb%202023%2002:05:15%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-700-bold-latin-ext.woff2	C:/My%20Web%20Sites/classcentral/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-700-bold-latin-ext.woff2	(from https://www.classcentral.com/)
22:47:11	15764/15764	---M--	200	added ('OK')	application/octet-stream	date:Thu,%2023%20Feb%202023%2002:06:36%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-700-bold-latin.woff2	C:/My%20Web%20Sites/classcentral/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-700-bold-latin.woff2	(from https://www.classcentral.com/)
22:47:11	990/990	---M--	200	added ('OK')	image/png	date:Thu,%2023%20Feb%202023%2002:06:36%20GMT	https://www.classcentral.com/images/fade-gradient.png	C:/My%20Web%20Sites/classcentral/www.classcentral.com/images/fade-gradient.png	(from https://www.classcentral.com/)
22:47:13	50234/50234	---M-Z	200	added ('OK')	text/javascript	date:Tue,%2010%20Jan%202023%2021:29:14%20GMT	http://www.google-analytics.com/analytics.js	C:/My%20Web%20Sites/classcentral/www.google-analytics.com/analytics.js	(from https://www.classcentral.com/)
22:47:13	600418/600418	---MCZ	200	added ('OK')	text/html	date:Sat,%2025%20Feb%202023%2003:47:13%20GMT	https://www.classcentral.com/rankings	C:/My%20Web%20Sites/classcentral/www.classcentral.com/rankings.html	(from https://www.classcentral.com/)
22:47:14	593096/593096	---MCZ	200	added ('OK')	text/html	date:Sat,%2025%20Feb%202023%2003:47:13%20GMT	https://www.classcentral.com/collections	C:/My%20Web%20Sites/classcentral/www.classcentral.com/collections.html	(from https://www.classcentral.com/)
22:47:14	575639/575639	---MCZ	200	added ('OK')	text/html	date:Sat,%2025%20Feb%202023%2003:47:14%20GMT	https://www.classcentral.com/subjects	C:/My%20Web%20Sites/classcentral/www.classcentral.com/subjects.html	(from https://www.classcentral.com/)
22:47:15	892322/892322	---MCZ	200	added ('OK')	text/html	date:Sat,%2025%20Feb%202023%2003:47:14%20GMT	https://www.classcentral.com/subject/cs	C:/My%20Web%20Sites/classcentral/www.classcentral.com/subject/cs.html	(from https://www.classcentral.com/)
22:47:16	848097/848097	---MCZ	200	added ('OK')	text/html	date:Sat,%2025%20Feb%202023%2003:47:15%20GMT	https://www.classcentral.com/subject/health	C:/My%20Web%20Sites/classcentral/www.classcentral.com/subject/health.html	(from https://www.classcentral.com/)
22:47:16	7741/7741	---MC-	429	error ('Too%20Many%20Requests')	text/html	date:Sat,%2025%20Feb%202023%2003:47:15%20GMT	https://www.classcentral.com/subject/maths	C:/My%20Web%20Sites/classcentral/www.classcentral.com/subject/maths	(from https://www.classcentral.com/)
22:47:16	7733/7733	---MC-	429	error ('Too%20Many%20Requests')	text/html	date:Sat,%2025%20Feb%202023%2003:47:16%20GMT	https://www.classcentral.com/subject/business	C:/My%20Web%20Sites/classcentral/www.classcentral.com/subject/business	(from https://www.classcentral.com/)
22:47:16	7956/7956	---MC-	429	error ('Too%20Many%20Requests')	text/html	date:Sat,%2025%20Feb%202023%2003:47:16%20GMT	https://www.classcentral.com/subject/humanities	C:/My%20Web%20Sites/classcentral/www.classcentral.com/subject/humanities.2b.delayed	(from https://www.classcentral.com/)
22:47:17	7959/7959	---MC-	429	error ('Too%20Many%20Requests')	text/html	date:Sat,%2025%20Feb%202023%2003:47:17%20GMT	https://www.classcentral.com/subject/engineering	C:/My%20Web%20Sites/classcentral/www.classcentral.com/subject/engineering.2c.delayed	(from https://www.classcentral.com/)
22:47:17	7943/7943	---MC-	429	error ('Too%20Many%20Requests')	text/html	date:Sat,%2025%20Feb%202023%2003:47:17%20GMT	https://www.classcentral.com/subject/science	C:/My%20Web%20Sites/classcentral/www.classcentral.com/subject/science.2d.delayed	(from https://www.classcentral.com/)
22:47:18	7952/7952	---MC-	429	error ('Too%20Many%20Requests')	text/html	date:Sat,%2025%20Feb%202023%2003:47:17%20GMT	https://www.classcentral.com/subject/education	C:/My%20Web%20Sites/classcentral/www.classcentral.com/subject/education.2e.delayed	(from https://www.classcentral.com/)
22:47:18	8000/8000	---MC-	429	error ('Too%20Many%20Requests')	text/html	date:Sat,%2025%20Feb%202023%2003:47:18%20GMT	https://www.classcentral.com/subject/social-sciences	C:/My%20Web%20Sites/classcentral/www.classcentral.com/subject/social-sciences.2f.delayed	(from https://www.classcentral.com/)
22:47:18	7993/7993	---MC-	429	error ('Too%20Many%20Requests')	text/html	date:Sat,%2025%20Feb%202023%2003:47:18%20GMT	https://www.classcentral.com/subject/art-and-design	C:/My%20Web%20Sites/classcentral/www.classcentral.com/subject/art-and-design.30.delayed	(from https://www.classcentral.com/)
22:47:19	7966/7966	---MC-	429	error ('Too%20Many%20Requests')	text/html	date:Sat,%2025%20Feb%202023%2003:47:19%20GMT	https://www.classcentral.com/subject/data-science	C:/My%20Web%20Sites/classcentral/www.classcentral.com/subject/data-science.31.delayed	(from https://www.classcentral.com/)
22:47:19	8134/8134	---MC-	429	error ('Too%20Many%20Requests')	text/html	date:Sat,%2025%20Feb%202023%2003:47:19%20GMT	https://www.classcentral.com/subject/programming-and-software-development	C:/My%20Web%20Sites/classcentral/www.classcentral.com/subject/programming-and-software-development.32.delayed	(from https://www.classcentral.com/)
22:47:21	828151/828151	---MCZ	200	added ('OK')	text/html	date:Sat,%2025%20Feb%202023%2003:47:20%20GMT	https://www.classcentral.com/subject/personal-development	C:/My%20Web%20Sites/classcentral/www.classcentral.com/subject/personal-development.html	(from https://www.classcentral.com/)
22:47:21	7964/7964	---MC-	429	error ('Too%20Many%20Requests')	text/html	date:Sat,%2025%20Feb%202023%2003:47:21%20GMT	https://www.classcentral.com/subject/infosec	C:/My%20Web%20Sites/classcentral/www.classcentral.com/subject/infosec.34.delayed	(from https://www.classcentral.com/)
22:47:23	3026839/3026839	---MCZ	200	added ('OK')	text/html	date:Sat,%2025%20Feb%202023%2003:47:22%20GMT	https://www.classcentral.com/universities	C:/My%20Web%20Sites/classcentral/www.classcentral.com/universities.html	(from https://www.classcentral.com/)
22:47:23	170174/170174	---MCZ	200	added ('OK')	text/html	date:Sat,%2025%20Feb%202023%2003:27:09%20GMT	https://www.classcentral.com/report/	C:/My%20Web%20Sites/classcentral/www.classcentral.com/report/index.html	(from https://www.classcentral.com/)
22:47:24	838432/838432	---MCZ	200	added ('OK')	text/html	date:Sat,%2025%20Feb%202023%2003:47:23%20GMT	https://www.classcentral.com/collection/top-free-online-courses	C:/My%20Web%20Sites/classcentral/www.classcentral.com/collection/top-free-online-courses.html	(from https://www.classcentral.com/)
22:47:24	4282/4282	---M--	200	added ('OK')	image/png	date:Wed,%2004%20Jan%202023%2012:59:08%20GMT	https://ccweb.imgix.net/https%3A%2F%2Fwww.classcentral.com%2Fimages%2Fbest-courses%2Fmini-banner-best-of-all-time.png?auto=format&blur=200&h=420&ixlib=php-3.3.1&px=16&s=d9866ee3df3a50272132b746506802ee	C:/My%20Web%20Sites/classcentral/ccweb.imgix.net/https_/www.classcentral.com/images/best-courses/mini-banner-best-of-all-time3e68.png	(from https://www.classcentral.com/)
22:47:24	33057/33057	---M--	200	added ('OK')	image/png	date:Fri,%2024%20Feb%202023%2004:21:53%20GMT	https://ccweb.imgix.net/https%3A%2F%2Fwww.classcentral.com%2Fimages%2Fbest-courses%2Fmini-banner-best-of-all-time.png?auto=format&h=420&ixlib=php-3.3.1&s=11c7448eb8908a8cc785e26ec27de650	C:/My%20Web%20Sites/classcentral/ccweb.imgix.net/https_/www.classcentral.com/images/best-courses/mini-banner-best-of-all-timec7ac.png	(from https://www.classcentral.com/)
22:47:25	4168/4168	---M--	200	added ('OK')	image/png	date:Fri,%2024%20Feb%202023%2009:55:31%20GMT	https://ccweb.imgix.net/https%3A%2F%2Fwww.classcentral.com%2Fimages%2Fbest-courses%2Fmini-banner-most-popular-of-all-time.png?auto=format&blur=200&h=420&ixlib=php-3.3.1&px=16&s=6b9b3ca668420c3d807c332c51ee7f2c	C:/My%20Web%20Sites/classcentral/ccweb.imgix.net/https_/www.classcentral.com/images/best-courses/mini-banner-most-popular-of-all-time0931.png	(from https://www.classcentral.com/)
22:47:25	35437/35437	---M--	200	added ('OK')	image/png	date:Fri,%2024%20Feb%202023%2012:05:13%20GMT	https://ccweb.imgix.net/https%3A%2F%2Fwww.classcentral.com%2Fimages%2Fbest-courses%2Fmini-banner-most-popular-of-all-time.png?auto=format&h=420&ixlib=php-3.3.1&s=8ddc221d6528da20924c85c064e17572	C:/My%20Web%20Sites/classcentral/ccweb.imgix.net/https_/www.classcentral.com/images/best-courses/mini-banner-most-popular-of-all-time45d9.png	(from https://www.classcentral.com/)
22:47:25	198813/198813	---MCZ	200	added ('OK')	text/html	date:Fri,%2024%20Feb%202023%2015:06:52%20GMT	https://www.classcentral.com/report/most-popular-online-courses/	C:/My%20Web%20Sites/classcentral/www.classcentral.com/report/most-popular-online-courses/index.html	(from https://www.classcentral.com/)
22:47:25	145594/145594	---MCZ	200	added ('OK')	text/html	date:Fri,%2024%20Feb%202023%2015:07:59%20GMT	https://www.classcentral.com/report/best-free-online-courses-2022/	C:/My%20Web%20Sites/classcentral/www.classcentral.com/report/best-free-online-courses-2022/index.html	(from https://www.classcentral.com/)
22:47:26	816714/816714	---MCZ	200	added ('OK')	text/html	date:Sat,%2025%20Feb%202023%2003:47:25%20GMT	https://www.classcentral.com/collection/ivy-league-moocs	C:/My%20Web%20Sites/classcentral/www.classcentral.com/collection/ivy-league-moocs.html	(from https://www.classcentral.com/)
22:47:26	153685/153685	---MCZ	200	added ('OK')	text/html	date:Fri,%2024%20Feb%202023%2015:04:41%20GMT	https://www.classcentral.com/report/best-free-online-courses-2021/	C:/My%20Web%20Sites/classcentral/www.classcentral.com/report/best-free-online-courses-2021/index.html	(from https://www.classcentral.com/)
22:47:26	176970/176970	---MCZ	200	added ('OK')	text/html	date:Fri,%2024%20Feb%202023%2015:04:58%20GMT	https://www.classcentral.com/report/most-popular-courses-2022/	C:/My%20Web%20Sites/classcentral/www.classcentral.com/report/most-popular-courses-2022/index.html	(from https://www.classcentral.com/)
22:47:26	6215/6215	---M--	200	added ('OK')	image/jpeg	date:Wed,%2004%20Jan%202023%2012:57:49%20GMT	https://ccweb.imgix.net/https%3A%2F%2Fwww.classcentral.com%2Fimages%2Fcollections%2Fcollection-ivy-league-moocs-social.jpg?auto=format&blur=200&h=420&ixlib=php-3.3.1&px=16&s=0d3af0d0d31cdbdc684a726b330a759f	C:/My%20Web%20Sites/classcentral/ccweb.imgix.net/https_/www.classcentral.com/images/collections/collection-ivy-league-moocs-social5b92.jpg	(from https://www.classcentral.com/)
22:47:26	178825/178825	---MCZ	200	added ('OK')	text/html	date:Fri,%2024%20Feb%202023%2015:05:57%20GMT	https://www.classcentral.com/report/100-most-popular-online-courses-2021/	C:/My%20Web%20Sites/classcentral/www.classcentral.com/report/100-most-popular-online-courses-2021/index.html	(from https://www.classcentral.com/)
22:47:27	50744/50744	---M--	200	added ('OK')	image/jpeg	date:Fri,%2024%20Feb%202023%2009:12:43%20GMT	https://ccweb.imgix.net/https%3A%2F%2Fwww.classcentral.com%2Fimages%2Fcollections%2Fcollection-ivy-league-moocs-social.jpg?auto=format&h=420&ixlib=php-3.3.1&s=c49b305f32e1e971696b9852e3971c6b	C:/My%20Web%20Sites/classcentral/ccweb.imgix.net/https_/www.classcentral.com/images/collections/collection-ivy-league-moocs-social1fe9.jpg	(from https://www.classcentral.com/)
22:47:27	5751/5751	---M--	200	added ('OK')	image/png	date:Fri,%2024%20Feb%202023%2023:43:38%20GMT	https://ccweb.imgix.net/https%3A%2F%2Fwww.classcentral.com%2Fimages%2Fcollections%2Fcollection-coursera-free-courses.png?auto=format&blur=200&h=420&ixlib=php-3.3.1&px=16&s=dbef6e5a11e80f652ab6a5ce5eb593b8	C:/My%20Web%20Sites/classcentral/ccweb.imgix.net/https_/www.classcentral.com/images/collections/collection-coursera-free-coursesd038.png	(from https://www.classcentral.com/)
22:47:27	96645/96645	---M--	200	added ('OK')	image/png	date:Fri,%2024%20Feb%202023%2020:51:07%20GMT	https://ccweb.imgix.net/https%3A%2F%2Fwww.classcentral.com%2Fimages%2Fcollections%2Fcollection-coursera-free-courses.png?auto=format&h=420&ixlib=php-3.3.1&s=9044610de77ddba19697f770dd2531c7	C:/My%20Web%20Sites/classcentral/ccweb.imgix.net/https_/www.classcentral.com/images/collections/collection-coursera-free-courses08e8.png	(from https://www.classcentral.com/)
22:47:27	518752/518752	---MCZ	200	added ('OK')	text/html	date:Fri,%2024%20Feb%202023%2015:04:46%20GMT	https://www.classcentral.com/report/coursera-free-online-courses/	C:/My%20Web%20Sites/classcentral/www.classcentral.com/report/coursera-free-online-courses/index.html	(from https://www.classcentral.com/)
22:47:27	6083/6083	---M--	200	added ('OK')	image/png	date:Fri,%2024%20Feb%202023%2010:02:35%20GMT	https://ccweb.imgix.net/https%3A%2F%2Fwww.classcentral.com%2Fimages%2Fcollections%2Fcollection-free-certificates.png?auto=format&blur=200&h=420&ixlib=php-3.3.1&px=16&s=f880669c2a69683d851d6be4ee71652e	C:/My%20Web%20Sites/classcentral/ccweb.imgix.net/https_/www.classcentral.com/images/collections/collection-free-certificates7462.png	(from https://www.classcentral.com/)
22:47:27	93874/93874	---M--	200	added ('OK')	image/png	date:Fri,%2024%20Feb%202023%2009:12:56%20GMT	https://ccweb.imgix.net/https%3A%2F%2Fwww.classcentral.com%2Fimages%2Fcollections%2Fcollection-free-certificates.png?auto=format&h=420&ixlib=php-3.3.1&s=bc50a602c38dbf30802649312c6a4474	C:/My%20Web%20Sites/classcentral/ccweb.imgix.net/https_/www.classcentral.com/images/collections/collection-free-certificatesbc95.png	(from https://www.classcentral.com/)
22:47:27	6773/6773	---M--	200	added ('OK')	image/png	date:Fri,%2024%20Feb%202023%2009:28:32%20GMT	https://ccweb.imgix.net/https%3A%2F%2Fwww.classcentral.com%2Fimages%2Fcollections%2Fcollection-google-certs.png?auto=format&blur=200&h=420&ixlib=php-3.3.1&px=16&s=0d0859ee6dce9cd586fcc06d2e5d34ec	C:/My%20Web%20Sites/classcentral/ccweb.imgix.net/https_/www.classcentral.com/images/collections/collection-google-certsa0be.png	(from https://www.classcentral.com/)
22:47:28	29596/29596	---M--	200	added ('OK')	image/png	date:Fri,%2024%20Feb%202023%2009:14:40%20GMT	https://ccweb.imgix.net/https%3A%2F%2Fwww.classcentral.com%2Fimages%2Fcollections%2Fcollection-google-certs.png?auto=format&h=420&ixlib=php-3.3.1&s=ac4c48d612e7961d7335e87451e52ac4	C:/My%20Web%20Sites/classcentral/ccweb.imgix.net/https_/www.classcentral.com/images/collections/collection-google-certsc6f1.png	(from https://www.classcentral.com/)
22:47:28	418992/418992	---MCZ	200	added ('OK')	text/html	date:Fri,%2024%20Feb%202023%2015:04:40%20GMT	https://www.classcentral.com/report/free-certificates/	C:/My%20Web%20Sites/classcentral/www.classcentral.com/report/free-certificates/index.html	(from https://www.classcentral.com/)
